INFO 2026-05-13 01:19:33,054 autoreload 23740 7000 Watching for file changes with StatReloader
INFO 2026-05-13 01:26:15,766 log 23336 4488 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:15,767 log 23336 22456 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2026-05-13 01:26:15,772 log 23336 3720 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:26:15,772 log 23336 22456 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,575 log 23336 22456 "POST /admin/authentication/user/add/ HTTP/1.1" 302 0
INFO 2026-05-13 01:26:35,663 log 23336 22456 "GET /admin/authentication/user/6/change/ HTTP/1.1" 200 33274
INFO 2026-05-13 01:26:35,712 log 23336 22456 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,712 log 23336 3720 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,712 log 23336 18492 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,714 log 23336 4488 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,716 log 23336 2604 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,724 log 23336 22456 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,729 log 23336 3720 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,729 log 23336 4488 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,729 log 23336 18492 "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,735 log 23336 18612 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:26:35,739 log 23336 4488 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,743 log 23336 4488 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,794 log 23336 18492 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,795 log 23336 4488 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:35,795 log 23336 18612 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,563 log 23336 18612 "POST /admin/authentication/user/6/change/ HTTP/1.1" 302 0
INFO 2026-05-13 01:26:47,592 log 23336 18612 "GET /admin/authentication/user/ HTTP/1.1" 200 15714
INFO 2026-05-13 01:26:47,633 log 23336 18612 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
